n_neighbors,metric,weights,accuracy,precision,recall,f1_score,training_time
15,manhattan,distance,0.314,0.22432541253511926,0.314,0.23880783394673824,0.027002573013305664
13,manhattan,distance,0.312,0.22325651458538376,0.312,0.24050306421678186,0.026517868041992188
13,manhattan,uniform,0.312,0.22229656662918817,0.312,0.24332437181299027,0.047007083892822266
11,manhattan,distance,0.309,0.22911116029749495,0.309,0.24641101884890315,0.023512840270996094
15,manhattan,uniform,0.306,0.21622856871043192,0.306,0.2364590160556539,0.0449984073638916
15,minkowski,distance,0.305,0.2145441649923259,0.305,0.23284060439604753,0.02200007438659668
15,euclidean,distance,0.305,0.2145441649923259,0.305,0.23284060439604753,0.020511865615844727
11,manhattan,uniform,0.304,0.22209050798161667,0.304,0.24409399362698644,0.04201316833496094
15,minkowski,uniform,0.302,0.20851128768004812,0.302,0.22961230922286477,0.04053831100463867
15,euclidean,uniform,0.302,0.20851128768004812,0.302,0.22961230922286477,0.04099845886230469
11,cosine,uniform,0.302,0.2313528557863491,0.302,0.24353509258767278,0.1866912841796875
15,chebyshev,uniform,0.299,0.19913573188609413,0.299,0.22583385145193333,0.04700922966003418
9,cosine,uniform,0.298,0.23357053234957872,0.298,0.2473027997717785,0.1868896484375
15,chebyshev,distance,0.297,0.2010793855278174,0.297,0.22365935547046067,0.021538734436035156
13,chebyshev,distance,0.296,0.20957844993695715,0.296,0.22977093947319963,0.023998498916625977
13,euclidean,distance,0.295,0.21465681888240795,0.295,0.23150688319315166,0.021997928619384766
13,minkowski,distance,0.295,0.21465681888240795,0.295,0.23150688319315166,0.022002458572387695
11,chebyshev,uniform,0.293,0.2193239402501703,0.293,0.23625824042429414,0.039000511169433594
13,minkowski,uniform,0.29,0.20659952050086242,0.29,0.2267581003359377,0.04099607467651367
11,chebyshev,distance,0.29,0.21220611076211543,0.29,0.2320883019958321,0.02299976348876953
13,euclidean,uniform,0.29,0.20659952050086242,0.29,0.2267581003359377,0.04452705383300781
9,euclidean,distance,0.29,0.22168157045915438,0.29,0.2389345495044832,0.017997264862060547
9,minkowski,distance,0.29,0.22168157045915438,0.29,0.2389345495044832,0.01799917221069336
9,manhattan,distance,0.289,0.22033662434062834,0.289,0.23924819026713365,0.022000789642333984
13,chebyshev,uniform,0.288,0.2078144935624841,0.288,0.22563526127269862,0.04051947593688965
9,euclidean,uniform,0.288,0.22472319664847082,0.288,0.24062068963037184,0.037003517150878906
9,minkowski,uniform,0.288,0.22472319664847082,0.288,0.24062068963037184,0.038999080657958984
9,manhattan,uniform,0.287,0.2275083690164865,0.287,0.24269498253440336,0.04025387763977051
11,minkowski,uniform,0.285,0.21041430384551288,0.285,0.23264452444970615,0.037003517150878906
11,euclidean,uniform,0.285,0.21041430384551288,0.285,0.23264452444970615,0.03967905044555664
11,minkowski,distance,0.283,0.20597410409643332,0.283,0.22603882603901418,0.01899433135986328
11,euclidean,distance,0.283,0.20597410409643332,0.283,0.22603882603901418,0.019000768661499023
7,cosine,uniform,0.281,0.22694355504816405,0.281,0.241668458435811,0.1560523509979248
11,cosine,distance,0.277,0.23230966408941206,0.277,0.24623118434655908,0.16167712211608887
7,manhattan,distance,0.274,0.21843349055170794,0.274,0.23718775464368366,0.02251410484313965
9,chebyshev,distance,0.271,0.20773364408051273,0.271,0.2270885548249001,0.017999887466430664
5,manhattan,distance,0.271,0.23480804383997594,0.271,0.24807157767064833,0.01999521255493164
9,chebyshev,uniform,0.269,0.20437302199175458,0.269,0.2242907987259377,0.038001060485839844
5,chebyshev,distance,0.268,0.23094748219025268,0.268,0.2454214478295599,0.016005992889404297
9,cosine,distance,0.267,0.2292445248498137,0.267,0.24172253198174667,0.15867185592651367
7,chebyshev,uniform,0.267,0.21612472313604988,0.267,0.23447618283268362,0.03500986099243164
7,minkowski,distance,0.267,0.21708268389234653,0.267,0.23402155155319426,0.015996932983398438
7,euclidean,distance,0.267,0.21708268389234653,0.267,0.23402155155319426,0.015996694564819336
7,chebyshev,distance,0.264,0.21198346355776443,0.264,0.23001491041986596,0.017508983612060547
7,cosine,distance,0.264,0.23140648395949037,0.264,0.243110969026118,0.15151500701904297
7,manhattan,uniform,0.263,0.20855785352145537,0.263,0.22775126287001285,0.035999298095703125
5,cosine,uniform,0.262,0.22992153374316385,0.262,0.23837325500455628,0.2047119140625
5,chebyshev,uniform,0.261,0.224031376580352,0.261,0.2378425810645038,0.032998085021972656
7,minkowski,uniform,0.259,0.20737372901220735,0.259,0.22728754407719642,0.03300356864929199
7,euclidean,uniform,0.259,0.20737372901220735,0.259,0.22728754407719642,0.03351616859436035
5,manhattan,uniform,0.258,0.22610761188151013,0.258,0.23583141899856963,0.03852415084838867
3,minkowski,distance,0.258,0.2457572608884209,0.258,0.25118568900501276,0.01700139045715332
3,euclidean,distance,0.258,0.2457572608884209,0.258,0.25118568900501276,0.014999628067016602
5,cosine,distance,0.254,0.23348506564605914,0.254,0.2413744813611284,0.14702582359313965
5,minkowski,distance,0.253,0.21496633667752266,0.253,0.22949431152806302,0.01600170135498047
5,euclidean,distance,0.253,0.21496633667752266,0.253,0.22949431152806302,0.018002033233642578
3,manhattan,distance,0.25,0.23716801278918212,0.25,0.24273246075445434,0.01999664306640625
3,chebyshev,distance,0.248,0.23614287043195925,0.248,0.2415341404527029,0.015999555587768555
3,minkowski,uniform,0.24,0.2348523477286987,0.24,0.22998306944086777,0.03700137138366699
3,euclidean,uniform,0.24,0.2348523477286987,0.24,0.22998306944086777,0.04199814796447754
3,manhattan,uniform,0.237,0.2406934874532934,0.237,0.22799472615633617,0.03729510307312012
3,cosine,distance,0.236,0.22889897002208093,0.236,0.23206652094520194,0.13654160499572754
3,chebyshev,uniform,0.235,0.23384458545485745,0.235,0.22577213327352563,0.035518646240234375
5,euclidean,uniform,0.235,0.20485686263493683,0.235,0.21485030558435586,0.03699851036071777
5,minkowski,uniform,0.235,0.20485686263493683,0.235,0.21485030558435586,0.03699803352355957
3,cosine,uniform,0.221,0.22179911845120823,0.221,0.21124193389751697,0.1618196964263916
